Title,Abstract,Comments 1,Comments 2,Screener 1,Screener 2,Eunice,Final Decision
Putting ChatGPT’s Medical Advice to the (Turing) Test,"Importance: Chatbots could play a role in answering patient questions, but patients’ ability to distinguish between provider and chatbot responses, and patients’ trust in chatbots’ functions are not well established. Objective: To assess the feasibility of using ChatGPT or a similar AI-based chatbot for patient-provider communication. Design: Survey in January 2023 Setting: Survey Participants: A US representative sample of 430 study participants aged 18 and above was recruited on Prolific, a crowdsourcing platform for academic studies. 426 participants filled out the full survey. After removing participants who spent less than 3 minutes on the survey, 392 respondents remained. 53.2% of respondents analyzed were women; their average age was 47.1. Exposure(s): Ten representative non-administrative patient-provider interactions were extracted from the EHR. Patients’ questions were placed in ChatGPT with a request for the chatbot to respond using approximately the same word count as the human provider’s response. In the survey, each patient’s question was followed by a provider- or ChatGPT-generated response. Participants were informed that five responses were provider-generated and five were chatbot-generated. Participants were asked, and incentivized financially, to correctly identify the response source. Participants were also asked about their trust in chatbots’ functions in patient-provider communication, using a Likert scale of 1-5. Main Outcome(s) and Measure(s): Main outcome: Proportion of responses correctly classified as provider- vs chatbot-generated. Secondary outcomes: Average and standard deviation of responses to trust questions. Results: The correct classification of responses ranged between 49.0% to 85.7% for different questions. On average, chatbot responses were correctly identified 65.5% of the time, and provider responses were correctly distinguished 65.1% of the time. On average, responses toward patients’ trust in chatbots’ functions were weakly positive (mean Likert score: 3.4), with lower trust as the health-related complexity of the task in questions increased. Conclusions and Relevance: ChatGPT responses to patient questions were weakly distinguishable from provider responses. Laypeople appear to trust the use of chatbots to answer lower risk health questions. It is important to continue studying patient-chatbot interaction as chatbots move from administrative to more clinical roles in healthcare.",This is a silly study but fits the inclusion criteria,I think yes because it is a survey but testing if an LLM's responses to patients are distinguisahbe from providers.,Yes,Maybe?,"Clinical task is responding to patient questions, LLM is ChatGPT",Yes
Patient2Trial: From patient to participant in clinical trials using large language models,"Purpose: Large language models (LLMs) exhibit promising language understanding and generation capabilities and have been adopted for various clinical use cases. Investigating the feasibility of leveraging LLMs in building a clinical trial retrieval system for patients is crucial as it can greatly enhance the patient enrollment process by prioritizing the most suitable trials pertaining to a patient. In this work, we develop an LLM-assisted system focused on a patient-initiated approach, allowing patients with specific conditions to directly find eligible trials by completing disorder-specific questionnaires. Methods: We obtained clinical trial eligibility criteria (from ClinicalTrials.gov) and simulated patient questionnaires (or topics) from the Text REtrieval Conference (TREC) 2023 Clinical Trials Track conducted by the National Institute of Standards and Technology (NIST), in which we also participated. These topics cover eight disorders across diverse domains, namely glaucoma, anxiety, chronic obstructive pulmonary disease, breast cancer, Covid-19, rheumatoid arthritis, sickle cell anemia, and type 2 diabetes. A Generative Pre-trained Transformer model (GPT-4) was employed for system development. We conducted both quantitative and qualitative evaluation using 37 patient topics. Results: The system achieved an overall Precision@10 (proportion of relevant trials) of 0.7351 and NDCG@10 (considers ranking order of relevant trials) of 0.8109, indicating its effectiveness in retrieving ranked lists of suitable trials for patients. Notably, for eight out of 37 patient topics, all the top 10 retrieved trials were relevant. The system scored the highest on breast cancer (NDCG@10 = 0.9347, Precision@10 = 0.84) and the lowest on type 2 diabetes (NDCG@10 = 0.61, Precision@10 = 0.475). One probable reason could be that the information in breast cancer topics is relatively straightforward to match. Qualitative error analysis classified errors into four categories (e.g., difficulty in correctly matching inclusion criteria) and further highlighted strengths (e.g., ability to make clinical inference). Conclusion: We demonstrated the feasibility of integrating LLMs in identifying and ranking suitable trials for patients across multiple disorders. Further work is required to assess the system's generalizability on other disorders and patient information sources. This system has the potential to expedite the patient-trial matching process by suggesting a ranked list of applicable trials to patients and clinicians. © 2025",This is a cool LLM application but not really a super clinical one,I'm mixed... it is clinical but it isnt something a doctor reall would do in a clinical setting. Recommend nah,No,Maybe?,"Agree - cool use case, but this isn't a task that the average physician is doing. Moeover, angle seems to be ""patient initiated"" trial finding",No
An Opportunity to Standardize and Enhance Intelligent Virtual Assistant-Delivered Layperson Cardiopulmonary Resuscitation Instructions,"Importance: Intelligent virtual assistants (IVAs) are ubiquitous and hold the potential to provide bystander cardiopulmonary resuscitation (CPR) instructions during an emergency. Objective: To evaluate the quality of CPR instructions provided by IVAs. Design: We evaluated the appropriateness of responses of four IVAs (Amazon Alexa, Apple Siri, Google Assistant, and Microsoft Cortana) to eight CPR-related questions. We also evaluated text-based responses provided by OpenAI ChatGPT, a recently developed artificial intelligence large language model. Results: Out of 32 responses provided by IVAs, only 19 (59%) were related to CPR, 9 (28%) suggested calling emergency services, and 4 (12%) provided verbal CPR instructions. All responses provided by ChatGPT were related to CPR and suggested calling emergency services. Among responses related to CPR, the answers provided varied significantly in the utility of information provided. Conclusions and Relevance: These results highlight the need for the technology industry to partner with the medical community to improve and standardize bystander CPR instruction provided by IVAs.",,,No,Maybe?,"If we're going by ""is this a task that the average physician in that specialty would need to do?” I would say no. Bystander CPR is the preclinical setting, and the average EM doc isn't instructing layperson CPR",No
ChatGPT-o1 and the Pitfalls of Familiar Reasoning in Medical Ethics,"Large language models (LLMs) like ChatGPT often exhibit Type 1 thinking—fast, intuitive reasoning that relies on familiar patterns—which can be dangerously simplistic in complex medical or ethical scenarios requiring more deliberate analysis. In our recent explorations, we observed that LLMs frequently default to well-known answers, failing to recognize nuances or twists in presented situations. For instance, when faced with modified versions of the classic ""Surgeon's Dilemma"" or medical ethics cases where typical dilemmas were resolved, LLMs still reverted to standard responses, overlooking critical details. Even models designed for enhanced analytical reasoning, such as ChatGPT-o1, did not consistently overcome these limitations. This suggests that despite advancements toward fostering Type 2 thinking, LLMs remain heavily influenced by familiar patterns ingrained during training. As LLMs are increasingly integrated into clinical practice, it is crucial to acknowledge and address these shortcomings to ensure reliable and contextually appropriate AI assistance in medical decision-making.","This is a tough call, but they actually do try to evaluate clinical judgement, specifically from an ethics standpoint here",potentially clinically relevant,Yes,Maybe?,Eval LLMs on clinical ethics cases,Yes
Effects of Different Prompts on the Quality of GPT-4 Responses to Dementia Care Questions,"Evidence suggests that different prompts lead large language models (LLMs) to generate responses with varying quality. Yet, little is known about prompts' effects on response quality in health care domains. In this exploratory study, we address this gap, focusing on a specific healthcare domain: dementia caregiving. We first developed an innovative prompt template with three components: (1) system prompts (SPs) featuring 4 different roles; (2) an initialization prompt; and (3) task prompts (TPs) specifying different levels of details, totaling 12 prompt combinations. Next, we selected 3 social media posts containing complicated, real-world questions about dementia caregivers' challenges in 3 areas: memory loss and confusion, aggression, and driving. We then entered these posts into G PT-4, with our 12 prompts, to generate 12 responses per post, totaling 36 responses. We compared the word count of the 36 responses to explore potential differences in response length. Two experienced dementia care clinicians on our team assessed the response quality using a rating scale with 5 quality indicators: factual, interpretation, application, synthesis, and comprehensiveness (scoring range: 0-5; higher scores indicate higher quality). Both clinicians rated the responses from 3 to 5, with 75% agreement. Consensus was reached through discussion. Overall, 44% of responses (16/36) were rated as 5; another 44% (16/36), as 4; the remaining 4 (11 %), as 3. We found no interaction effect of system and task prompts or main effect of system prompts on response length. Task prompts had a statistically significant effect on response length: F(2,24) = 82.784, p <.001. Post hoc analysis showed that the significant difference in responses was due to TP3, which led to significantly longer responses. There was no interaction or main effect of system and task prompts on response quality. Our clinicians' qualitative feedback provided further insight: (1) system prompts with the different professional roles (neuropsychologist and social worker) did not lead to noticeable differences in response content (that is, there were no neuropsychology- and social work-versions of GPT-4 responses); and (2) TP3, while producing longer responses statistically, might not necessarily have produced higher quality responses clinically: at times the details contained in the lengthy responses seem unnecessary from a clinical perspective. We discuss study limitations and future research directions. © 2024 IEEE.",,,Yes,Maybe?,Answering caregiver questions is within clinician task scope,Yes
The Artificial Intelligence Shoulder Arthroplasty Score: development and validation of a tool for large language model responses to common patient questions regarding total shoulder arthroplasty,"Background and Hypothesis: While research into artificial intelligence, specifically large language model (LLM), ability to respond to patient questions regarding specific orthopedic pathologies continues to grow, no tool presently exists to systematically and comprehensively evaluate the quality of LLM responses. The present study seeks to develop and validate the Artificial Intelligence Shoulder Arthroplasty Score (AISAS) to create a comprehensive, standardized, and reproducible system for evaluating artificial intelligence responses to patient questions regarding their orthopedic pathology. Methods: The novel scoring tool, AISAS, was developed to include four equally weighted components related to accuracy, completeness, clarity, and readability. Fifteen common patient questions on glenohumeral arthritis were asked one by one to three of the most used LLMs: ChatGPT (version 3.5), Claude (version 3.5) Sonnet, and Gemini. Ten shoulder and elbow fellowship trained orthopedic surgeons used the proposed framework to evaluate each of the 45 responses. Inter-rater reliability was calculated via Cohen's kappa and rater-score correlation was calculated via Cronbach's alpha. Results: AISAS use for Claude and ChatGPT produced moderate agreement (k = 0.55 and 0.43) while Gemini produced substantial reliability among raters ((k = 0.66). Cronbach's alpha scores demonstrated excellent correlation of Gemini ratings (⍺ = 0.91) and acceptable correlation of the Claude and ChatGPT ratings (⍺ = 0.79 and 0.75). Discussion and Conclusion: AISAS use enables systematic assessment of the overall quality of an LLM response, as well as the individual components of a response that may vary in quality to enable easy comparisons for LLM responses. Furthermore, it offers a tool to trend the progress of LLMs in ability to respond to patient questions. Establishing such a framework to guide areas of improvement for LLMs will serve to optimize LLMs as a patient tool, identify areas for improvement, and allow physicians to better direct patients on how to utilize these tools for optimal use. Conclusion: The AISAS is a comprehensive and reproducible tool for evaluating LLM responses, with high levels of inter-rater reliability. AISAS use can help to evaluate responses to patient questions to guide growth and improvement of LLMs for use in the orthopedic setting. © 2025 American Shoulder and Elbow Surgeons",,This is the development of a tool to assess how good AI is,Yes,No,"Results are re the viability of the scoring method, but not on the nature of the responses outputed by the LLMs used ",No
Assessing the performance of ChatGPT-4 and ChatGPT-4o in lung cancer diagnoses,,,Yet another letter LMAO,Yes,No,Letter to the editor,No
Generative artificial intelligence responses to patient messages in the electronic health record: early lessons learned,"Background: Electronic health record (EHR)-based patient messages can contribute to burnout. Messages with a negative tone are particularly challenging to address. In this perspective, we describe our initial evaluation of large language model (LLM)-generated responses to negative EHR patient messages and contend that using LLMs to generate initial drafts may be feasible, although refinement will be needed. Methods: A retrospective sample (n = 50) of negative patient messages was extracted from a health system EHR, de-identified, and inputted into an LLM (ChatGPT). Qualitative analyses were conducted to compare LLM responses to actual care team responses. Results: Some LLM-generated draft responses varied from human responses in relational connection, informational content, and recommendations for next steps. Occasionally, the LLM draft responses could have potentially escalated emotionally charged conversations. Conclusion: Further work is needed to optimize the use of LLMs for responding to negative patient messages in the EHR. Lay Summary Doctors and other clinicians are receiving a growing number of messages from patients through electronic health records systems. This workload is contributing to clinician burnout. Some messages can be very negative or emotionally charged. These messages often require a lot of time or effort to respond to. In this article, we discuss results from a preliminary evaluation we conducted using large language models (like ChatGPT). We analyzed whether these models could help provide starting drafts to respond to patient messages, with a focus on negative messages, since these can be particularly difficult. We found that ChatGPT provided reasonable starting drafts in many cases, but that there were also issues in the drafts that would require further editing. These issues included sometimes not drafting the text from the perspective of a clinician, using overly broad or generic language, inappropriate escalation (eg, instructing the patient to file complaints to the medical board), and inconsistent recommendations for in-person follow-up visits. Based on this evaluation, we highlight not only the promise and possibilities of this technology but also considerations and challenges that need to be addressed for optimizing its future use. # The Author(s) 2024.",,LLM answering patient Qs; just not quantitative...,Yes,Maybe?,Qualitative analysis,No
An Explainable Artificial Intelligence Text Classifier for Suicidality Prediction in Youth Crisis Text Line Users: Development and Validation Study,"Background: Suicide represents a critical public health concern, and machine learning (ML) models offer the potential for identifying at-risk individuals. Recent studies using benchmark datasets and real-world social media data have demonstrated the capability of pretrained large language models in predicting suicidal ideation and behaviors (SIB) in speech and text. Objective: This study aimed to (1) develop and implement ML methods for predicting SIBs in a real-world crisis helpline dataset, using transformer-based pretrained models as a foundation; (2) evaluate, cross-validate, and benchmark the model against traditional text classification approaches; and (3) train an explainable model to highlight relevant risk-associated features. Methods: We analyzed chat protocols from adolescents and young adults (aged 14-25 years) seeking assistance from a German crisis helpline. An ML model was developed using a transformer-based language model architecture with pretrained weights and long short-term memory layers. The model predicted suicidal ideation (SI) and advanced suicidal engagement (ASE), as indicated by composite Columbia-Suicide Severity Rating Scale scores. We compared model performance against a classical word-vector-based ML model. We subsequently computed discrimination, calibration, clinical utility, and explainability information using a Shapley Additive Explanations value-based post hoc estimation model. Results: The dataset comprised 1348 help-seeking encounters (1011 for training and 337 for testing). The transformer-based classifier achieved a macroaveraged area under the curve (AUC) receiver operating characteristic (ROC) of 0.89 (95% CI 0.81-0.91) and an overall accuracy of 0.79 (95% CI 0.73-0.99). This performance surpassed the word-vector-based baseline model (AUC-ROC=0.77, 95% CI 0.64-0.90; accuracy=0.61, 95% CI 0.61-0.80). The transformer model demonstrated excellent prediction for nonsuicidal sessions (AUC-ROC=0.96, 95% CI 0.96-0.99) and good prediction for SI and ASE, with AUC-ROCs of 0.85 (95% CI 0.97-0.86) and 0.87 (95% CI 0.81-0.88), respectively. The Brier Skill Score indicated a 44% improvement in classification performance over the baseline model. The Shapley Additive Explanations model identified language features predictive of SIBs, including self-reference, negation, expressions of low self-esteem, and absolutist language. Conclusions: Neural networks using large language model–based transfer learning can accurately identify SI and ASE. The post hoc explainer model revealed language features associated with SI and ASE. Such models may potentially support clinical decision-making in suicide prevention services. Future research should explore multimodal input features and temporal aspects of suicide risk. ©Julia Thomas, Antonia Lucht, Jacob Segler, Richard Wundrack, Marcel Miché, Roselind Lieb, Lars Kuchinke, Gunther Meinlschmidt.",This is not an LLM,"Two questions: (1) its a transformer, but unclear if it is an LLM; i opt to say no... (2) is suicide risk prediction really a clinical task? i think yes... so two conflicting perspectives lol",No,Maybe?,Not an LLM,No
Can ChatGPT write radiology reports?,"These case examples exemplify the utility of ChatGPT in augmenting the radiology report drafting process, thereby contributing to the efficiency of report generation. © The Author(s) 2024.",,"this is a ""short communication"" Although it does represent a single case it isnt really doing a robust analysis",Yes,No,Qualitative analysis,Yes
