Title,Abstract,Include? (GPT-4.1),Comments (GPT-4.1),DOI,Tier,Screener Name,Notes,,313
Large language models encode clinical knowledge,Large language models encode clinical knowledge,yes,"This study evaluates large language models (PaLM, Flan-PaLM, Med-PaLM) on a variety of medical question answering tasks, including US Medical Licensing Exam-style questions and other clinical benchmarks. It uses both automated and human evaluation frameworks to assess clinical knowledge, reasoning, and potential harm, directly addressing the clinical application of LLMs. The focus is on the clinical performance and limitations of LLMs, not just technical development.",10.1038/s41586-023-06291-2,III,Joanne,"Fake data
Fake tasks
not retro/prospective
no real world clinical deployment or RCT",,
Evaluation of Generative Artificial Intelligence Models in Predicting Pediatric Emergency Severity Index Levels,"Objective: Evaluate the accuracy and reliability of various generative artificial intelligence (AI) models (ChatGPT-3.5, ChatGPT-4.0, T5, Llama-2, Mistral-Large, and Claude-3 Opus) in predicting Emergency Severity Index (ESI) levels for pediatric emergency department patients and assess the impact of medically oriented fine-tuning. Methods: Seventy pediatric clinical vignettes from the ESI Handbook version 4 were used as the gold standard. Each AI model predicted the ESI level for each vignette. Performance metrics, including sensitivity, specificity, and F1 score, were calculated. Reliability was assessed by repeating the tests and measuring the interrater reliability using Fleiss kappa. Paired t tests were used to compare the models before and after fine-tuning. Results: Claude-3 Opus achieved the highest performance amongst the untrained models with a sensitivity of 80.6% (95% confidence interval [CI]: 63.6-90.7), specificity of 91.3% (95% CI: 83.8-99), and an F1 score of 73.9% (95% CI: 58.9-90.7). After fine-tuning, the GPT-4.0 model showed statistically significant improvement with a sensitivity of 77.1% (95% CI: 60.1-86.5), specificity of 92.5% (95% CI: 89.5-97.4), and an F1 score of 74.6% (95% CI: 63.9-83.8, P < 0.04). Reliability analysis revealed high agreement for Claude-3 Opus (Fleiss κ: 0.85), followed by Mistral-Large (Fleiss κ: 0.79) and trained GPT-4.0 (Fleiss κ: 0.67). Training improved the reliability of GPT models (P < 0.001). Conclusions: Generative AI models demonstrate promising accuracy in predicting pediatric ESI levels, with fine-tuning significantly enhancing their performance and reliability. These findings suggest that AI could serve as a valuable tool in pediatric triage. © 2025 Lippincott Williams and Wilkins. All rights reserved.",yes,"This study evaluates multiple generative LLMs (ChatGPT-3.5, ChatGPT-4.0, Llama-2, Claude-3 Opus, etc.) in the clinical context of predicting Emergency Severity Index (ESI) levels for pediatric emergency department patients. The models are tested on clinical vignettes, and their clinical decision-making performance is measured. This fits the inclusion criteria as it is a clinical evaluation of LLMs in healthcare.",10.1097/PEC.0000000000003315,II,Joanne,"Fake data
Real tasks
not retro/prospective
no real world clinical deployment or RCT",,
The use of a ChatGPT-4-based chatbot in teledermatology: A retrospective exploratory study,,yes,"The title indicates that the study evaluates a ChatGPT-4-based chatbot in the context of teledermatology, which is a clinical application in healthcare. Although the abstract is missing, the title alone suggests a clinical evaluation of an LLM in medicine.",10.1111/ddg.15609_g,I,Sully,,,
Quality of Chatbot Responses to the Most Popular Questions Regarding Erectile Dysfunction,"Objective: Erectile dysfunction (ED) is a common cause of male sexual dysfunction. We aimed to evaluate the quality of ChatGPT and Gemini’s responses to the most frequently asked questions about ED. Materials and Methods: This study was conducted as a cross-sectional, observational study. Google Trends was used to determine the most frequently asked questions on the internet. ChatGPT-3.5 and Gemini were compared for these chatbots’ answers to the questions about ED. Two urologists with board certificates assessed the quality of responses using the Global Quality Score (GQS). Results: Fifteen questions about ED were included according to the Google Trends. ChatGPT was able to answer all the questions systematically, whereas Gemini could not answer two questions. Upon assessing the quality of the responses provided by both researchers with the GQS, it was observed that the frequency of low-quality responses from Gemini exceeded that of ChatGPT. The agreement between researchers was 92% for ChatGPT and 95% for Gemini. Conclusion: Despite the expeditious and comprehensive answers provided by chatbots, we identified inadequacies in their responses related to ED. In their current state, they cannot replace the patient-centered approach of healthcare professionals and require further development. © 2024, AVES. All rights reserved.",yes,"This study evaluates the quality of responses provided by generative LLMs (ChatGPT-3.5 and Gemini) to common patient questions about erectile dysfunction, with clinical experts rating the answers. This is a direct clinical application of LLMs in healthcare.",10.5152/tud.2024.24098,II,Joanne,"Fake data
Real tasks
not retro/prospective
no real world clinical deployment or RCT",,
The Comparative Diagnostic Capability of Large Language Models in Otolaryngology,"Objectives: Evaluate and compare the ability of large language models (LLMs) to diagnose various ailments in otolaryngology. Methods: We collected all 100 clinical vignettes from the second edition of Otolaryngology Cases—The University of Cincinnati Clinical Portfolio by Pensak et al. With the addition of the prompt “Provide a diagnosis given the following history,” we prompted ChatGPT-3.5, Google Bard, and Bing-GPT4 to provide a diagnosis for each vignette. These diagnoses were compared to the portfolio for accuracy and recorded. All queries were run in June 2023. Results: ChatGPT-3.5 was the most accurate model (89% success rate), followed by Google Bard (82%) and Bing GPT (74%). A chi-squared test revealed a significant difference between the three LLMs in providing correct diagnoses (p = 0.023). Of the 100 vignettes, seven require additional testing results (i.e., biopsy, non-contrast CT) for accurate clinical diagnosis. When omitting these vignettes, the revised success rates were 95.7% for ChatGPT-3.5, 88.17% for Google Bard, and 78.72% for Bing-GPT4 (p = 0.002). Conclusions: ChatGPT-3.5 offers the most accurate diagnoses when given established clinical vignettes as compared to Google Bard and Bing-GPT4. LLMs may accurately offer assessments for common otolaryngology conditions but currently require detailed prompt information and critical supervision from clinicians. There is vast potential in the clinical applicability of LLMs; however, practitioners should be wary of possible “hallucinations” and misinformation in responses. Level of Evidence: 3 Laryngoscope, 134:3997–4002, 2024. © 2024 The Authors. The Laryngoscope published by Wiley Periodicals LLC on behalf of The American Laryngological, Rhinological and Otological Society, Inc.",yes,"This study directly evaluates the diagnostic performance of multiple LLMs (ChatGPT-3.5, Google Bard, Bing-GPT4) on clinical otolaryngology vignettes, comparing their accuracy in providing diagnoses. This is a clear clinical application of LLMs and fits the inclusion criteria.",10.1002/lary.31434,II,Joanne,"Fake data
Real tasks
not retro/prospective
no real world clinical deployment or RCT",,
Evaluating the Performance of ChatGPT in Ophthalmology: An Analysis of its Successes and Shortcomings,"We tested the accuracy of ChatGPT, a large language model (LLM), in the ophthalmology question-answering space using two popular multiple choice question banks used for the high-stakes Ophthalmic Knowledge Assessment Program (OKAP) exam. The testing sets were of easy-to-moderate difficulty and were diversified, including recall, interpretation, practical and clinical decision-making problems. ChatGPT achieved 55.8% and 42.7% accuracy in the two 260-question simulated exams. Its performance varied across subspecialties, with the best results in general medicine and the worst in neuro-ophthalmology and ophthalmic pathology and intraocular tumors. These results are encouraging but suggest that specialising LLMs through domain-specific pretraining may be necessary to improve their performance in ophthalmic subspecialties.",yes,"This study evaluates ChatGPT, a large language model, on its ability to answer clinically relevant ophthalmology exam questions, including clinical decision-making problems. This fits the inclusion criteria as it assesses LLM performance in a clinical/medical context.",10.1101/2023.01.22.23284882,III,Joanne,"Fake data
Real tasks
not retro/prospective
no real world clinical deployment or RCT",,
Neurological Diagnosis: Artificial Intelligence Compared With Diagnostic Generator,"3308. Neurologist. 2024 May 1;29(3):143-145. doi: 10.1097/NRL.0000000000000560.

Neurological Diagnosis: Artificial Intelligence Compared With Diagnostic 
Generator.

Finelli PF(1).

Author information:
(1)Department of Neurology, Hartford Hospital and University of Connecticut 
School of Medicine, Hartford, CT.

OBJECTIVE: Artificial intelligence has recently become available for widespread 
use in medicine, including the interpretation of digitized information, big data 
for tracking disease trends and patterns, and clinical diagnosis. Comparative 
studies and expert opinion support the validity of imaging and data analysis, 
yet similar validation is lacking in clinical diagnosis. Artificial intelligence 
programs are here compared with a diagnostic generator program in clinical 
neurology.
METHODS: Using 4 nonrandomly selected case records from New England Journal of 
Medicine clinicopathologic conferences from 2017 to 2022, 2 artificial 
intelligence programs (ChatGPT-4 and GLASS AI) were compared with a neurological 
diagnostic generator program (NeurologicDx.com) for diagnostic capability and 
accuracy and source authentication.
RESULTS: Compared with NeurologicDx.com, the 2 AI programs showed results 
varying with order of key term entry and with repeat querying. The diagnostic 
generator yielded more differential diagnostic entities, with correct diagnoses 
in 4 of 4 test cases versus 0 of 4 for ChatGPT-4 and 1 of 4 for GLASS AI, 
respectively, and with authentication of diagnostic entities compared with the 
AI programs.
CONCLUSIONS: The diagnostic generator NeurologicDx yielded a more robust and 
reproducible differential diagnostic list with higher diagnostic accuracy and 
associated authentication compared with artificial intelligence programs.

Copyright © 2024 Wolters Kluwer Health, Inc. All rights reserved.",yes,"This study directly evaluates the clinical diagnostic performance of two LLMs (ChatGPT-4 and GLASS AI) in neurology, comparing them to a traditional diagnostic generator. The focus is on clinical diagnosis, which fits the inclusion criteria.",10.1097/NRL.0000000000000560,I,Joanne,"Real data
Real tasks
Retrospective
no real world clinical deployment or RCT",,
The Large Language Model Improves the Diagnostic Performance of Suspicious Breast Lesions by Radiologists Using Grayscale Ultrasound: A Multicenter Cohort Study,"PurposeImproving diagnostic performance and reducing unnecessary biopsy has been a major challenge for management of suspicious breast lesions. The purpose was to investigate the potential of three publicly available large language models (LLMs) in assisting radiologists with different experiences for diagnosis of suspicious breast lesions.MethodsFrom January 2020 to August 2022, this study prospectively evaluated a dataset of ultrasound (US) images in 1054 patients with 1062 suspicious breast lesions which were classified to BI-RADS 4 category from three tertiary referral hospitals. The diagnostic performance and unnecessary biopsy rate of LLM with radiologists, two types of radiomic approaches [machine learning (ML)-based radiomic approach and deep learning (DL)-based radiomic approach], and shear wave elastography (SWE) or contrast-enhanced ultrasound (CEUS) assessment were assessed and compared.ResultsAmong three LLMs, Gemini performed slightly better than ChatGPT 4.0 (p > 0.05), while achieved better performance than ChatGPT 3.5 (p < 0.05). For identifying malignancies in suspicious breast lesions, Gemini with senior radiologist demonstrated comparable diagnostic performance to DL-based radiomics approach with accuracies (ACCs) of 90.06-90.53% and 85.08-88.42%, respectively. Gemini with junior radiologist achieved similar diagnostic performance to ML-based radiomics approach with ACCs of 73.68-74.59% and 73.48-75.79%, respectively. With the assistance of Gemini, radiologist achieved superior performance than SWE and CEUS assessment. The unnecessary biopsy rates were reduced from 49.17-51.56% to 33.09-34.78% for junior radiologist aided with Gemini, and to 16.36-16.36% for senior radiologist aided with Gemini.ConclusionGemini showed potential in enhancing radiologists with different experiences using grayscale US for suspicious breast lesion.",yes,"This study evaluates the use of three publicly available LLMs (including Gemini and ChatGPT) to assist radiologists in diagnosing suspicious breast lesions using ultrasound images, comparing their performance to other diagnostic approaches. The LLMs are directly involved in a clinical diagnostic task, making this a clear clinical evaluation of LLMs in healthcare.",10.2139/ssrn.5116563,I,Joanne,"Real data
Real tasks
Prospective
no real world clinical deployment or RCT",,
Bridging the Gap in Neonatal Care: Evaluating AI Chatbots for Chronic Neonatal Lung Disease and Home Oxygen Therapy Management,"Objective: To evaluate the accuracy and comprehensiveness of eight free, publicly available large language model (LLM) chatbots in addressing common questions related to chronic neonatal lung disease (CNLD) and home oxygen therapy (HOT). Study Design: Twenty CNLD and HOT-related questions were curated across nine domains. Responses from ChatGPT-3.5, Google Bard, Bing Chat, Claude 3.5 Sonnet, ERNIE Bot 3.5, and GLM-4 were generated and evaluated by three experienced neonatologists using Likert scales for accuracy and comprehensiveness. Updated LLM models (ChatGPT-4o mini and Gemini 2.0 Flash Experimental) were incorporated to assess rapid technological advancement. Statistical analyses included ANOVA, Kruskal–Wallis tests, and intraclass correlation coefficients. Results: Bing Chat and Claude 3.5 Sonnet demonstrated superior performance, with the highest mean accuracy scores (5.78 ± 0.48 and 5.75 ± 0.54, respectively) and competence scores (2.65 ± 0.58 and 2.80 ± 0.41, respectively). In subsequent testing, Gemini 2.0 Flash Experimental and ChatGPT-4o mini achieved comparable high performance. Performance varied across domains, with all models excelling in “equipment and safety protocols” and “caregiver support.” ERNIE Bot 3.5 and GLM-4 showed self-correction capabilities when prompted. Conclusions: LLMs promise accurate CNLD/HOT information. However, performance variability and the risk of misinformation necessitate expert oversight and continued refinement before widespread clinical implementation. © 2025 Wiley Periodicals LLC.",yes,"This study evaluates multiple large language model (LLM) chatbots (including ChatGPT, Bard, Claude, Gemini, etc.) on their ability to answer clinical questions related to chronic neonatal lung disease and home oxygen therapy. The evaluation is based on accuracy and comprehensiveness as judged by neonatologists, which is a direct clinical application relevant to patient care.",10.1002/ppul.71020,III,Joanne,"Fake data
Real tasks
Retrospective
no real world clinical deployment or RCT",,
Can We Trust the Information on Allergic Rhinitis From Chat Generated Pre-Trained Transformer?; [Chat Generated Pre-Trained Transformer를 통해 얻은 알레르기 비염 정보를 믿을 수 있을까?],"Background and Objectives Chat Generated Pre-Trained Transformer (ChatGPT) is a large language model, which allows consumers to get information with one simple question for free. There are few studies that reported the reliability and usefullness of ChatGPT in the field of otorhinolarynoglogy, so we would like to investigate the reliability of information about allergic rhinitis generated by ChatGPT. Materials and Method We asked ChatGPT 35 questions related to allergic rhinitis based on the textbook from Korean Society of Otorhinolaryngology-Head and Neck Surgery, the clinical guidelines of American Academy of Otolaryngology-Head and Neck Surgery, and the guidelines of Allergic Rhinitis and Its impact on Asthma, and recorded the generated answers. Five specialists from our department were shown the answers in a blind test to assess their reliability. Each question was rated either 'accurate' or 'inaccurate,' and if the contents were not found in the textbook or the guideline, it was rated as 'unreliable.' Results Of the 35 questions, 26 (74%) were identified as 'accurate,' 9 (26%) were 'inaccurate,' and 0 (0%) were 'unreliable.' Questions about epidemiology, causes, diagnosis, and prognosis were found to be more accurate than the average, whereas definitions and treatments were less accurate than the average. Conclusion The information about allergic rhinitis generated by ChatGPT was quite reliable, showing that ChatGPT can be helpful in understanding and treating the disease. It is necessary to use the developing medical artificial intelligence wisely. Copyright © 2024 Korean Society of Otorhinolaryngology-Head and Neck Surgery.",yes,"This study evaluates the reliability of ChatGPT's answers to clinical questions about allergic rhinitis, as judged by medical specialists. It directly assesses the clinical utility and accuracy of a generative LLM (ChatGPT) in a healthcare context.",10.3342/kjorl-hns.2023.00451,III,Joanne,"Fake data
Fake tasks
Retrospective
no real world clinical deployment or RCT",,
