Title,Abstract,Tiebreak,Tiebreaker,,
Evaluation of Generative Artificial Intelligence Models in Predicting Pediatric Emergency Severity Index Levels,"Objective: Evaluate the accuracy and reliability of various generative artificial intelligence (AI) models (ChatGPT-3.5, ChatGPT-4.0, T5, Llama-2, Mistral-Large, and Claude-3 Opus) in predicting Emergency Severity Index (ESI) levels for pediatric emergency department patients and assess the impact of medically oriented fine-tuning. Methods: Seventy pediatric clinical vignettes from the ESI Handbook version 4 were used as the gold standard. Each AI model predicted the ESI level for each vignette. Performance metrics, including sensitivity, specificity, and F1 score, were calculated. Reliability was assessed by repeating the tests and measuring the interrater reliability using Fleiss kappa. Paired t tests were used to compare the models before and after fine-tuning. Results: Claude-3 Opus achieved the highest performance amongst the untrained models with a sensitivity of 80.6% (95% confidence interval [CI]: 63.6-90.7), specificity of 91.3% (95% CI: 83.8-99), and an F1 score of 73.9% (95% CI: 58.9-90.7). After fine-tuning, the GPT-4.0 model showed statistically significant improvement with a sensitivity of 77.1% (95% CI: 60.1-86.5), specificity of 92.5% (95% CI: 89.5-97.4), and an F1 score of 74.6% (95% CI: 63.9-83.8, P < 0.04). Reliability analysis revealed high agreement for Claude-3 Opus (Fleiss κ: 0.85), followed by Mistral-Large (Fleiss κ: 0.79) and trained GPT-4.0 (Fleiss κ: 0.67). Training improved the reliability of GPT models (P < 0.001). Conclusions: Generative AI models demonstrate promising accuracy in predicting pediatric ESI levels, with fine-tuning significantly enhancing their performance and reliability. These findings suggest that AI could serve as a valuable tool in pediatric triage. © 2025 Lippincott Williams and Wilkins. All rights reserved.",III,Robert,,
Neurological Diagnosis: Artificial Intelligence Compared With Diagnostic Generator,"3308. Neurologist. 2024 May 1;29(3):143-145. doi: 10.1097/NRL.0000000000000560.

Neurological Diagnosis: Artificial Intelligence Compared With Diagnostic 
Generator.

Finelli PF(1).

Author information:
(1)Department of Neurology, Hartford Hospital and University of Connecticut 
School of Medicine, Hartford, CT.

OBJECTIVE: Artificial intelligence has recently become available for widespread 
use in medicine, including the interpretation of digitized information, big data 
for tracking disease trends and patterns, and clinical diagnosis. Comparative 
studies and expert opinion support the validity of imaging and data analysis, 
yet similar validation is lacking in clinical diagnosis. Artificial intelligence 
programs are here compared with a diagnostic generator program in clinical 
neurology.
METHODS: Using 4 nonrandomly selected case records from New England Journal of 
Medicine clinicopathologic conferences from 2017 to 2022, 2 artificial 
intelligence programs (ChatGPT-4 and GLASS AI) were compared with a neurological 
diagnostic generator program (NeurologicDx.com) for diagnostic capability and 
accuracy and source authentication.
RESULTS: Compared with NeurologicDx.com, the 2 AI programs showed results 
varying with order of key term entry and with repeat querying. The diagnostic 
generator yielded more differential diagnostic entities, with correct diagnoses 
in 4 of 4 test cases versus 0 of 4 for ChatGPT-4 and 1 of 4 for GLASS AI, 
respectively, and with authentication of diagnostic entities compared with the 
AI programs.
CONCLUSIONS: The diagnostic generator NeurologicDx yielded a more robust and 
reproducible differential diagnostic list with higher diagnostic accuracy and 
associated authentication compared with artificial intelligence programs.

Copyright © 2024 Wolters Kluwer Health, Inc. All rights reserved.",III,Robert,,
Bridging the Gap in Neonatal Care: Evaluating AI Chatbots for Chronic Neonatal Lung Disease and Home Oxygen Therapy Management,"Objective: To evaluate the accuracy and comprehensiveness of eight free, publicly available large language model (LLM) chatbots in addressing common questions related to chronic neonatal lung disease (CNLD) and home oxygen therapy (HOT). Study Design: Twenty CNLD and HOT-related questions were curated across nine domains. Responses from ChatGPT-3.5, Google Bard, Bing Chat, Claude 3.5 Sonnet, ERNIE Bot 3.5, and GLM-4 were generated and evaluated by three experienced neonatologists using Likert scales for accuracy and comprehensiveness. Updated LLM models (ChatGPT-4o mini and Gemini 2.0 Flash Experimental) were incorporated to assess rapid technological advancement. Statistical analyses included ANOVA, Kruskal–Wallis tests, and intraclass correlation coefficients. Results: Bing Chat and Claude 3.5 Sonnet demonstrated superior performance, with the highest mean accuracy scores (5.78 ± 0.48 and 5.75 ± 0.54, respectively) and competence scores (2.65 ± 0.58 and 2.80 ± 0.41, respectively). In subsequent testing, Gemini 2.0 Flash Experimental and ChatGPT-4o mini achieved comparable high performance. Performance varied across domains, with all models excelling in “equipment and safety protocols” and “caregiver support.” ERNIE Bot 3.5 and GLM-4 showed self-correction capabilities when prompted. Conclusions: LLMs promise accurate CNLD/HOT information. However, performance variability and the risk of misinformation necessitate expert oversight and continued refinement before widespread clinical implementation. © 2025 Wiley Periodicals LLC.",III,Robert,,
Can We Trust the Information on Allergic Rhinitis From Chat Generated Pre-Trained Transformer?; [Chat Generated Pre-Trained Transformer를 통해 얻은 알레르기 비염 정보를 믿을 수 있을까?],"Background and Objectives Chat Generated Pre-Trained Transformer (ChatGPT) is a large language model, which allows consumers to get information with one simple question for free. There are few studies that reported the reliability and usefullness of ChatGPT in the field of otorhinolarynoglogy, so we would like to investigate the reliability of information about allergic rhinitis generated by ChatGPT. Materials and Method We asked ChatGPT 35 questions related to allergic rhinitis based on the textbook from Korean Society of Otorhinolaryngology-Head and Neck Surgery, the clinical guidelines of American Academy of Otolaryngology-Head and Neck Surgery, and the guidelines of Allergic Rhinitis and Its impact on Asthma, and recorded the generated answers. Five specialists from our department were shown the answers in a blind test to assess their reliability. Each question was rated either 'accurate' or 'inaccurate,' and if the contents were not found in the textbook or the guideline, it was rated as 'unreliable.' Results Of the 35 questions, 26 (74%) were identified as 'accurate,' 9 (26%) were 'inaccurate,' and 0 (0%) were 'unreliable.' Questions about epidemiology, causes, diagnosis, and prognosis were found to be more accurate than the average, whereas definitions and treatments were less accurate than the average. Conclusion The information about allergic rhinitis generated by ChatGPT was quite reliable, showing that ChatGPT can be helpful in understanding and treating the disease. It is necessary to use the developing medical artificial intelligence wisely. Copyright © 2024 Korean Society of Otorhinolaryngology-Head and Neck Surgery.",III,Robert,,
Evaluating ChatGPT on Orbital and Oculofacial Disorders: Accuracy and Readability Insights,"3136. Ophthalmic Plast Reconstr Surg. 2024 Mar-Apr 01;40(2):217-222. doi: 
10.1097/IOP.0000000000002552. Epub 2023 Nov 16.

Evaluating ChatGPT on Orbital and Oculofacial Disorders: Accuracy and 
Readability Insights.

Balas M(1), Janic A(1), Daigle P(2), Nijhawan N(2), Hussain A(3), Gill H(2), 
Lahaie GL(4), Belliveau MJ(5), Crawford SA(1)(6), Arjmand P(7), Ing EB(2)(8).

Author information:
(1)Temerty Faculty of Medicine.
(2)Department of Ophthalmology and Vision Sciences, University of Toronto, 
Toronto, Ontario, Canada.
(3)Department of Ophthalmology and Visual Sciences, Dalhousie University, 
Halifax, Nova Scotia, Canada.
(4)Department of Ophthalmology, Queen's University, Kingston, Ontario, Canada.
(5)Department of Ophthalmology, University of Ottawa and The Ottawa Hospital 
Research Institute, Ottawa, Ontario, Canada.
(6)Division of Vascular Surgery, Department of Surgery, University of Toronto, 
Toronto, Ontario, Canada.
(7)Mississauga Retina Institute, Toronto, Ontario, Canada.
(8)Department of Ophthalmology and Vision Sciences, University of Alberta, 
Edmonton, Alberta, Canada.

PURPOSE: To assess the accuracy and readability of responses generated by the 
artificial intelligence model, ChatGPT (version 4.0), to questions related to 10 
essential domains of orbital and oculofacial disease.
METHODS: A set of 100 questions related to the diagnosis, treatment, and 
interpretation of orbital and oculofacial diseases was posed to ChatGPT 4.0. 
Responses were evaluated by a panel of 7 experts based on appropriateness and 
accuracy, with performance scores measured on a 7-item Likert scale. Inter-rater 
reliability was determined via the intraclass correlation coefficient.
RESULTS: The artificial intelligence model demonstrated accurate and consistent 
performance across all 10 domains of orbital and oculofacial disease, with an 
average appropriateness score of 5.3/6.0 (""mostly appropriate"" to ""completely 
appropriate""). Domains of cavernous sinus fistula, retrobulbar hemorrhage, and 
blepharospasm had the highest domain scores (average scores of 5.5 to 5.6), 
while the proptosis domain had the lowest (average score of 5.0/6.0). The 
intraclass correlation coefficient was 0.64 (95% CI: 0.52 to 0.74), reflecting 
moderate inter-rater reliability. The responses exhibited a high reading-level 
complexity, representing the comprehension levels of a college or graduate 
education.
CONCLUSIONS: This study demonstrates the potential of ChatGPT 4.0 to provide 
accurate information in the field of ophthalmology, specifically orbital and 
oculofacial disease. However, challenges remain in ensuring accurate and 
comprehensive responses across all disease domains. Future improvements should 
focus on refining the model's correctness and eventually expanding the scope to 
visual data interpretation. Our results highlight the vast potential for 
artificial intelligence in educational and clinical ophthalmology contexts.

Copyright © 2023 The American Society of Ophthalmic Plastic and Reconstructive 
Surgery, Inc.",III,Robert,,
Performance of large language models (LLMs) in providing prostate cancer information,"Purpose: The diagnosis and management of prostate cancer (PCa), the second most common cancer in men worldwide, are highly complex. Hence, patients often seek knowledge through additional resources, including AI chatbots such as ChatGPT and Google Bard. This study aimed to evaluate the performance of LLMs in providing education on PCa. Methods: Common patient questions about PCa were collected from reliable educational websites and evaluated for accuracy, comprehensiveness, readability, and stability by two independent board-certified urologists, with a third resolving discrepancy. Accuracy was measured on a 3-point scale, comprehensiveness was measured on a 5-point Likert scale, and readability was measured using the Flesch Reading Ease (FRE) score and Flesch–Kincaid FK Grade Level. Results: A total of 52 questions on general knowledge, diagnosis, treatment, and prevention of PCa were provided to three LLMs. Although there was no significant difference in the overall accuracy of LLMs, ChatGPT-3.5 demonstrated superiority over the other LLMs in terms of general knowledge of PCa (p = 0.018). ChatGPT-4 achieved greater overall comprehensiveness than ChatGPT-3.5 and Bard (p = 0.028). For readability, Bard generated simpler sentences with the highest FRE score (54.7, p < 0.001) and lowest FK reading level (10.2, p < 0.001). Conclusion: ChatGPT-3.5, ChatGPT-4 and Bard generate accurate, comprehensive, and easily readable PCa material. These AI models might not replace healthcare professionals but can assist in patient education and guidance. © The Author(s) 2024.",III,Robert,,
Exploring the Role of a Large Language Model on Carpal Tunnel Syndrome Management: An Observation Study of ChatGPT,"Purpose: Recently, large language models, such as ChatGPT, have emerged as promising tools to facilitate scientific research and health care management. The present study aimed to explore the extent of knowledge possessed by ChatGPT concerning carpal tunnel syndrome (CTS), a compressive neuropathy that may lead to impaired hand function and that is frequently encountered in the field of hand surgery. Methods: Six questions pertaining to diagnosis and management of CTS were posed to ChatGPT. The responses were subsequently analyzed and evaluated based on their accuracy, coherence, and comprehensiveness. In addition, ChatGPT was requested to provide five high-level evidence references in support of its answers. A simulated doctor-patient consultation was also conducted to assess whether ChatGPT could offer safe medical advice. Results: ChatGPT supplied clinically relevant information regarding CTS, although at a relatively superficial level. In the context of doctor-patient interaction, ChatGPT suggested a diagnostic pathway that deviated from the widely accepted clinical consensus on CTS diagnosis. Nevertheless, it incorporated differential diagnoses and valuable management options for CTS. Although ChatGPT demonstrated the ability to retain and recall information from previous patient conversations, it infrequently produced pertinent references, many of which were either nonexistent or incorrect. Conclusions: ChatGPT displayed the capability to deliver validated medical information on CTS to nonmedical individuals. However, the generation of nonexistent and inaccurate references by ChatGPT presents a challenge to academic integrity. Clinical relevance: To increase their utility in medicine and academia, large language models must go through specialized reputable data set training and validation from experts. It is essential to note that at present, large language models cannot replace the expertise of health care professionals and may act as a supportive tool. © 2023",II,Robert,,
Neura: A specialized large language model solution in neurology,"Large language models’ (LLM) ability in natural language processing holds promise for diverse applications, yet their deployment in fields such as neurology faces domain-specific challenges. Hence, we introduce Neura: a scalable, explainable solution to specialize LLM. Blindly evaluated on a select set of five complex clinical cases compared to a cohort of 13 neurologists, Neura achieved normalized scores of 86.17% overall, 85% for differential diagnoses, and 88.24% for final diagnoses (55.11%, 46.15%, and 70.93% for neurologists) with rapid response times of 28.8 and 19 seconds (9 minutes and 37.2 seconds and 8 minutes and 51 seconds for neurologists) while consistently providing relevant, accurately cited information. These findings support the emerging role of LLM-driven applications to articulate human-acquired and integrated data with a vast corpus of knowledge, augmenting human experiential reasoning for clinical and research purposes.",III,Robert,,
"Evaluating the accuracy and reliability of AI chatbots in patient education on cardiovascular imaging: a comparative study of ChatGPT, gemini, and copilot","Background: The integration of artificial intelligence (AI) chatbots in medicine is expanding rapidly, with notable models like ChatGPT by OpenAI, Gemini by Google, and Copilot by Microsoft. These chatbots are increasingly used to provide medical information, yet their reliability in specific areas such as cardiovascular imaging remains underexplored. This study aims to evaluate the accuracy and reliability of ChatGPT (versions 3.5 and 4), Gemini, and Copilot in responding to patient inquiries about cardiovascular imaging. Methods: We sourced 30 patient-oriented questions on cardiovascular imaging. The questions were submitted to ChatGPT-4, ChatGPT-3.5, Copilot Balanced Mode, Copilot Precise Mode, and Gemini. Responses were evaluated by two cardiovascular radiologists based on accuracy, clarity, completeness, neutrality, and appropriateness using a structured rubric. Inter-rater reliability was assessed using Cohen’s Kappa. Results: ChatGPT-4 achieved the highest performance with 78.3% accuracy, 86.87% clarity and appropriateness, 81.7% completeness, and 100% neutrality. Gemini showed balanced performance, while Copilot Balanced Mode excelled in clarity and accuracy but lagged in completeness. Copilot Precise Mode had the lowest scores in completeness and accuracy. Penalty assessments revealed that ChatGPT-4 had the lowest incidence of missing or misleading information. Conclusion: ChatGPT-4 emerged as the most reliable AI model for providing accurate, clear, and comprehensive patient information on cardiovascular imaging. While other models showed potential, they require further refinement. This study underscores the value of integrating AI chatbots into clinical practice to enhance patient education and engagement. © The Author(s) 2025.",III,Robert,,
A comparative evaluation of ChatGPT 3.5 and ChatGPT 4 in responses to selected genetics questions,"Objectives: To evaluate the efficacy of ChatGPT 4 (GPT-4) in delivering genetic information about BRCA1, HFE, and MLH1, building on previous findings with ChatGPT 3.5 (GPT-3.5). To focus on assessing the utility, limitations, and ethical implications of using ChatGPT in medical settings. Materials and Methods: A structured survey was developed to assess GPT-4's clinical value. An expert panel of genetic counselors and clinical geneticists evaluated GPT-4's responses to these questions. We also performed comparative analysis with GPT-3.5, utilizing descriptive statistics and using Prism 9 for data analysis. Results: The findings indicate improved accuracy in GPT-4 over GPT-3.5 (P <. 0001). However, notable errors in accuracy remained. The relevance of responses varied in GPT-4, but was generally favorable, with a mean in the ""somewhat agree""range. There was no difference in performance by disease category. The 7-question subset of the Bot Usability Scale (BUS-15) showed no statistically significant difference between the groups but trended lower in the GPT-4 version. Discussion and Conclusion: The study underscores GPT-4's potential role in genetic education, showing notable progress yet facing challenges like outdated information and the necessity of ongoing refinement. Our results, while showing promise, emphasizes the importance of balancing technological innovation with ethical responsibility in healthcare information delivery.  © 2024 The Author(s).",III,Robert,,
